sex,region,year,births
Оба пола,Брянская область,2020,9511
Оба пола,Владимирская область,2015,16214
Оба пола,Владимирская область,2016,15654
Оба пола,Владимирская область,2017,13356
Оба пола,Владимирская область,2018,12693
Оба пола,Владимирская область,2019,11101
Оба пола,Владимирская область,2020,10072
Оба пола,Воронежская область,2015,25801
Оба пола,Воронежская область,2016,24936
Оба пола,Воронежская область,2017,22370
Оба пола,Воронежская область,2018,21470
Оба пола,Воронежская область,2019,19576
Оба пола,Воронежская область,2020,19073
Оба пола,Ивановская область,2015,11753
Оба пола,Ивановская область,2016,11147
Оба пола,Ивановская область,2017,9885
Оба пола,Ивановская область,2018,9117
Оба пола,Ивановская область,2019,7938
Оба пола,Ивановская область,2020,7525
Оба пола,Калужская область,2015,12774
Оба пола,Калужская область,2016,12252
Оба пола,Калужская область,2017,10955
Оба пола,Калужская область,2018,10355
Оба пола,Калужская область,2019,8924
Оба пола,Калужская область,2020,8968
Оба пола,Костромская область,2015,8151
Оба пола,Костромская область,2016,7829
Оба пола,Костромская область,2017,6902
Оба пола,Костромская область,2018,6230
Оба пола,Костромская область,2019,5761
Оба пола,Костромская область,2020,5376
Оба пола,Курская область,2015,13032
Оба пола,Курская область,2016,12403
Оба пола,Курская область,2017,10732
Оба пола,Курская область,2018,10256
Оба пола,Курская область,2019,9246
Оба пола,Курская область,2020,9136
Оба пола,Липецкая область,2015,13428
Оба пола,Липецкая область,2016,13094
Оба пола,Липецкая область,2017,11563
Оба пола,Липецкая область,2018,10884
Оба пола,Липецкая область,2019,9788
Оба пола,Липецкая область,2020,9441
Оба пола,Московская область,2015,94186
Оба пола,Московская область,2016,96643
Оба пола,Московская область,2017,88750
Оба пола,Московская область,2018,83088
Оба пола,Московская область,2019,72466
Оба пола,Московская область,2020,79057
Оба пола,Орловская область,2015,8562
Оба пола,Орловская область,2016,8272
Оба пола,Орловская область,2017,7128
Оба пола,Орловская область,2018,6710
Оба пола,Орловская область,2019,5949
Оба пола,Орловская область,2020,5755
Оба пола,Рязанская область,2015,12560
Оба пола,Рязанская область,2016,12792
Оба пола,Рязанская область,2017,11006
Оба пола,Рязанская область,2018,10273
Оба пола,Рязанская область,2019,9236
Оба пола,Рязанская область,2020,8676
Оба пола,Смоленская область,2015,10133
Оба пола,Смоленская область,2016,9845
Оба пола,Смоленская область,2017,8680
Оба пола,Смоленская область,2018,7814
Оба пола,Смоленская область,2019,7079
Оба пола,Смоленская область,2020,6537
Оба пола,Тамбовская область,2015,10324
Оба пола,Тамбовская область,2016,10047
Оба пола,Тамбовская область,2017,8873
Оба пола,Тамбовская область,2018,8289
Оба пола,Тамбовская область,2019,7744
Оба пола,Тамбовская область,2020,7419
Оба пола,Тверская область,2015,14720
Оба пола,Тверская область,2016,14489
Оба пола,Тверская область,2017,12791
Оба пола,Тверская область,2018,11605
Оба пола,Тверская область,2019,10680
Оба пола,Тверская область,2020,10086
Оба пола,Тульская область,2015,15817
Оба пола,Тульская область,2016,15264
Оба пола,Тульская область,2017,13351
Оба пола,Тульская область,2018,12321
Оба пола,Тульская область,2019,11232
Оба пола,Тульская область,2020,10735
Оба пола,Ярославская область,2015,15461
Оба пола,Ярославская область,2016,15323
Оба пола,Ярославская область,2017,13309
Оба пола,Ярославская область,2018,12386
Оба пола,Ярославская область,2019,11172
Оба пола,Ярославская область,2020,10637
Оба пола,Москва,2015,142210
Оба пола,Москва,2016,145264
Оба пола,Москва,2017,133653
Оба пола,Москва,2018,132192
Оба пола,Москва,2019,135637
Оба пола,Москва,2020,125566
Оба пола,Республика Карелия,2015,7726
Оба пола,Республика Карелия,2016,7528
Оба пола,Республика Карелия,2017,6439
Оба пола,Республика Карелия,2018,6050
Оба пола,Республика Карелия,2019,5491
Оба пола,Республика Карелия,2020,5194
Оба пола,Республика Коми,2015,11789
Оба пола,Республика Коми,2016,11220
Оба пола,Республика Коми,2017,9736
Оба пола,Республика Коми,2018,8561
Оба пола,Республика Коми,2019,7918
Оба пола,Республика Коми,2020,7587
Оба пола,Ненецкий автономный округ,2015,767
Оба пола,Ненецкий автономный округ,2016,810
Оба пола,Ненецкий автономный округ,2017,669
Оба пола,Ненецкий автономный округ,2018,618
Оба пола,Ненецкий автономный округ,2019,585
Оба пола,Ненецкий автономный округ,2020,599
Оба пола,Архангельская область,2015,13895
Оба пола,Архангельская область,2016,13276
Оба пола,Архангельская область,2017,11722
Оба пола,Архангельская область,2018,10630
Оба пола,Архангельская область,2019,9642
Оба пола,Архангельская область,2020,8886
Оба пола,Вологодская область,2015,16350
Оба пола,Вологодская область,2016,15725
Оба пола,Вологодская область,2017,13492
Оба пола,Вологодская область,2018,12312
Оба пола,Вологодская область,2019,11172
Оба пола,Вологодская область,2020,10749
Оба пола,Калининградская область,2015,12399
Оба пола,Калининградская область,2016,12189
Оба пола,Калининградская область,2017,10876
Оба пола,Калининградская область,2018,10326
Оба пола,Калининградская область,2019,9293
Оба пола,Калининградская область,2020,9254
Оба пола,Ленинградская область,2015,16068
Оба пола,Ленинградская область,2016,16358
Оба пола,Ленинградская область,2017,15019
Оба пола,Ленинградская область,2018,13950
Оба пола,Ленинградская область,2019,13478
Оба пола,Ленинградская область,2020,13304
Оба пола,Мурманская область,2015,9111
Оба пола,Мурманская область,2016,8530
Оба пола,Мурманская область,2017,7810
Оба пола,Мурманская область,2018,7364
Оба пола,Мурманская область,2019,6673
Оба пола,Мурманская область,2020,6514
Оба пола,Новгородская область,2015,7345
Оба пола,Новгородская область,2016,7204
Оба пола,Новгородская область,2017,6261
Оба пола,Новгородская область,2018,5845
Оба пола,Новгородская область,2019,5189
Оба пола,Новгородская область,2020,4849
Оба пола,Псковская область,2015,7150
Оба пола,Псковская область,2016,7170
Оба пола,Псковская область,2017,6079
Оба пола,Псковская область,2018,5858
Оба пола,Псковская область,2019,5301
Оба пола,Псковская область,2020,4960
Оба пола,Санкт-Петербург,2015,70733
Оба пола,Санкт-Петербург,2016,72732
Оба пола,Санкт-Петербург,2017,66500
Оба пола,Санкт-Петербург,2018,64023
Оба пола,Санкт-Петербург,2019,58870
Оба пола,Санкт-Петербург,2020,55350
Оба пола,Республика Адыгея,2015,5627
Оба пола,Республика Адыгея,2016,5411
Оба пола,Республика Адыгея,2017,4790
Оба пола,Республика Адыгея,2018,4503
Оба пола,Республика Адыгея,2019,4184
Оба пола,Республика Адыгея,2020,4419
Оба пола,Республика Калмыкия,2015,3799
Оба пола,Республика Калмыкия,2016,3464
Оба пола,Республика Калмыкия,2017,3029
Оба пола,Республика Калмыкия,2018,3054
Оба пола,Республика Калмыкия,2019,2814
Оба пола,Республика Калмыкия,2020,2758
Оба пола,Республика Крым,2015,24039
Оба пола,Республика Крым,2016,22944
Оба пола,Республика Крым,2017,20849
Оба пола,Республика Крым,2018,20331
Оба пола,Республика Крым,2019,19114
Оба пола,Республика Крым,2020,18810
Оба пола,Краснодарский край,2015,74117
Оба пола,Краснодарский край,2016,72986
Оба пола,Краснодарский край,2017,67297
Оба пола,Краснодарский край,2018,64519
Оба пола,Краснодарский край,2019,61165
Оба пола,Краснодарский край,2020,59496
Оба пола,Астраханская область,2015,14834
Оба пола,Астраханская область,2016,14239
Оба пола,Астраханская область,2017,12270
Оба пола,Астраханская область,2018,11781
Оба пола,Астраханская область,2019,10981
Оба пола,Астраханская область,2020,10956
Оба пола,Волгоградская область,2015,29335
Оба пола,Волгоградская область,2016,28436
Оба пола,Волгоградская область,2017,25162
Оба пола,Волгоградская область,2018,23563
Оба пола,Волгоградская область,2019,20974
Оба пола,Волгоградская область,2020,19652
Оба пола,Ростовская область,2015,51081
Оба пола,Ростовская область,2016,49038
Оба пола,Ростовская область,2017,43614
Оба пола,Ростовская область,2018,41052
Оба пола,Ростовская область,2019,37730
Оба пола,Ростовская область,2020,36485
Оба пола,Севастополь,2015,5498
Оба пола,Севастополь,2016,5351
Оба пола,Севастополь,2017,4843
Оба пола,Севастополь,2018,4454
Оба пола,Севастополь,2019,4276
Оба пола,Севастополь,2020,4189
Оба пола,Республика Дагестан,2015,54867
Оба пола,Республика Дагестан,2016,52867
Оба пола,Республика Дагестан,2017,50174
Оба пола,Республика Дагестан,2018,48120
Оба пола,Республика Дагестан,2019,45977
Оба пола,Республика Дагестан,2020,47051
Оба пола,Республика Ингушетия,2015,8647
Оба пола,Республика Ингушетия,2016,7750
Оба пола,Республика Ингушетия,2017,7890
Оба пола,Республика Ингушетия,2018,8048
Оба пола,Республика Ингушетия,2019,8252
Оба пола,Республика Ингушетия,2020,8350
Оба пола,Кабардино-Балкарская Республика,2015,12596
Оба пола,Кабардино-Балкарская Республика,2016,12129
Оба пола,Кабардино-Балкарская Республика,2017,11117
Оба пола,Кабардино-Балкарская Республика,2018,10879
Оба пола,Кабардино-Балкарская Республика,2019,9935
Оба пола,Кабардино-Балкарская Республика,2020,10531
Оба пола,Карачаево-Черкесская Республика,2015,5776
Оба пола,Карачаево-Черкесская Республика,2016,5570
Оба пола,Карачаево-Черкесская Республика,2017,5120
Оба пола,Карачаево-Черкесская Республика,2018,4998
Оба пола,Карачаево-Черкесская Республика,2019,5050
Оба пола,Карачаево-Черкесская Республика,2020,5135
Оба пола,Республика Северная Осетия — Алания,2015,10261
Оба пола,Республика Северная Осетия — Алания,2016,9901
Оба пола,Республика Северная Осетия — Алания,2017,8985
Оба пола,Республика Северная Осетия — Алания,2018,9180
Оба пола,Республика Северная Осетия — Алания,2019,8575
Оба пола,Республика Северная Осетия — Алания,2020,8220
Оба пола,Чеченская Республика,2015,31868
Оба пола,Чеченская Республика,2016,29980
Оба пола,Чеченская Республика,2017,31355
Оба пола,Чеченская Республика,2018,29946
Оба пола,Чеченская Республика,2019,29813
Оба пола,Чеченская Республика,2020,29832
Оба пола,Ставропольский край,2015,36385
Оба пола,Ставропольский край,2016,36336
Оба пола,Ставропольский край,2017,32253
Оба пола,Ставропольский край,2018,30670
Оба пола,Ставропольский край,2019,27974
Оба пола,Ставропольский край,2020,27397
Оба пола,Республика Башкортостан,2015,59028
Оба пола,Республика Башкортостан,2016,55628
Оба пола,Республика Башкортостан,2017,49315
Оба пола,Республика Башкортостан,2018,47010
Оба пола,Республика Башкортостан,2019,41767
Оба пола,Республика Башкортостан,2020,41043
Оба пола,Республика Марий Эл,2015,9915
Оба пола,Республика Марий Эл,2016,9537
Оба пола,Республика Марий Эл,2017,8147
Оба пола,Республика Марий Эл,2018,7392
Оба пола,Республика Марий Эл,2019,6683
Оба пола,Республика Марий Эл,2020,6642
Оба пола,Республика Мордовия,2015,7867
Оба пола,Республика Мордовия,2016,7933
Оба пола,Республика Мордовия,2017,6860
Оба пола,Республика Мордовия,2018,6652
Оба пола,Республика Мордовия,2019,5948
Оба пола,Республика Мордовия,2020,5518
Оба пола,Республика Татарстан,2015,56598
Оба пола,Республика Татарстан,2016,55592
Оба пола,Республика Татарстан,2017,48298
Оба пола,Республика Татарстан,2018,46215
Оба пола,Республика Татарстан,2019,42668
Оба пола,Республика Татарстан,2020,41329
Оба пола,Удмуртская Республика,2015,22145
Оба пола,Удмуртская Республика,2016,20995
Оба пола,Удмуртская Республика,2017,17877
Оба пола,Удмуртская Республика,2018,16423
Оба пола,Удмуртская Республика,2019,14601
Оба пола,Удмуртская Республика,2020,14454
Оба пола,Чувашская Республика,2015,17133
Оба пола,Чувашская Республика,2016,16358
Оба пола,Чувашская Республика,2017,13952
Оба пола,Чувашская Республика,2018,13065
Оба пола,Чувашская Республика,2019,11624
Оба пола,Чувашская Республика,2020,11305
Оба пола,Пермский край,2015,38761
Оба пола,Пермский край,2016,37258
Оба пола,Пермский край,2017,31915
Оба пола,Пермский край,2018,29526
Оба пола,Пермский край,2019,26617
Оба пола,Пермский край,2020,25461
Оба пола,Кировская область,2015,16544
Оба пола,Кировская область,2016,16299
Оба пола,Кировская область,2017,13736
Оба пола,Кировская область,2018,12613
Оба пола,Кировская область,2019,11205
Оба пола,Кировская область,2020,10570
Оба пола,Нижегородская область,2015,40094
Оба пола,Нижегородская область,2016,38678
Оба пола,Нижегородская область,2017,34153
Оба пола,Нижегородская область,2018,32021
Оба пола,Нижегородская область,2019,28732
Оба пола,Нижегородская область,2020,27679
Оба пола,Оренбургская область,2015,28377
Оба пола,Оренбургская область,2016,26704
Оба пола,Оренбургская область,2017,22986
Оба пола,Оренбургская область,2018,21769
Оба пола,Оренбургская область,2019,19640
Оба пола,Оренбургская область,2020,18674
Оба пола,Пензенская область,2015,14471
Оба пола,Пензенская область,2016,13705
Оба пола,Пензенская область,2017,11922
Оба пола,Пензенская область,2018,11467
Оба пола,Пензенская область,2019,10320
Оба пола,Пензенская область,2020,9612
Оба пола,Самарская область,2015,40986
Оба пола,Самарская область,2016,40151
Оба пола,Самарская область,2017,34554
Оба пола,Самарская область,2018,33045
Оба пола,Самарская область,2019,29608
Оба пола,Самарская область,2020,27880
Оба пола,Саратовская область,2015,28647
Оба пола,Саратовская область,2016,27135
Оба пола,Саратовская область,2017,23537
Оба пола,Саратовская область,2018,22266
Оба пола,Саратовская область,2019,20147
Оба пола,Саратовская область,2020,18657
Оба пола,Ульяновская область,2015,15005
Оба пола,Ульяновская область,2016,14544
Оба пола,Ульяновская область,2017,12569
Оба пола,Ульяновская область,2018,11986
Оба пола,Ульяновская область,2019,10883
Оба пола,Ульяновская область,2020,10317
Оба пола,Курганская область,2015,11568
Оба пола,Курганская область,2016,10666
Оба пола,Курганская область,2017,9469
Оба пола,Курганская область,2018,8642
Оба пола,Курганская область,2019,7643
Оба пола,Курганская область,2020,7432
Оба пола,Свердловская область,2015,62232
Оба пола,Свердловская область,2016,59840
Оба пола,Свердловская область,2017,53386
Оба пола,Свердловская область,2018,50254
Оба пола,Свердловская область,2019,46039
Оба пола,Свердловская область,2020,43827
Оба пола,Ханты-Мансийский автономный округ — Югра,2015,26864
Оба пола,Ханты-Мансийский автономный округ — Югра,2016,25639
Оба пола,Ханты-Мансийский автономный округ — Югра,2017,23299
Оба пола,Ханты-Мансийский автономный округ — Югра,2018,22538
Оба пола,Ханты-Мансийский автономный округ — Югра,2019,20719
Оба пола,Ханты-Мансийский автономный округ — Югра,2020,20598
Оба пола,Ямало-Ненецкий автономный округ,2015,8913
Оба пола,Ямало-Ненецкий автономный округ,2016,8251
Оба пола,Ямало-Ненецкий автономный округ,2017,7530
Оба пола,Ямало-Ненецкий автономный округ,2018,7214
Оба пола,Ямало-Ненецкий автономный округ,2019,6836
Оба пола,Ямало-Ненецкий автономный округ,2020,7037
Оба пола,Тюменская область,2015,24112
Оба пола,Тюменская область,2016,23269
Оба пола,Тюменская область,2017,21309
Оба пола,Тюменская область,2018,20717
Оба пола,Тюменская область,2019,19192
Оба пола,Тюменская область,2020,18871
Оба пола,Челябинская область,2015,48592
Оба пола,Челябинская область,2016,46649
Оба пола,Челябинская область,2017,40191
Оба пола,Челябинская область,2018,37692
Оба пола,Челябинская область,2019,34231
Оба пола,Челябинская область,2020,33090
Оба пола,Республика Алтай,2015,4023
Оба пола,Республика Алтай,2016,3895
Оба пола,Республика Алтай,2017,3438
Оба пола,Республика Алтай,2018,3347
Оба пола,Республика Алтай,2019,2984
Оба пола,Республика Алтай,2020,2933
Оба пола,Республика Тыва,2015,7492
Оба пола,Республика Тыва,2016,7372
Оба пола,Республика Тыва,2017,7009
Оба пола,Республика Тыва,2018,6537
Оба пола,Республика Тыва,2019,6046
Оба пола,Республика Тыва,2020,6654
Оба пола,Республика Хакасия,2015,7872
Оба пола,Республика Хакасия,2016,7597
Оба пола,Республика Хакасия,2017,6667
Оба пола,Республика Хакасия,2018,6207
Оба пола,Республика Хакасия,2019,5568
Оба пола,Республика Хакасия,2020,5366
Оба пола,Алтайский край,2015,30080
Оба пола,Алтайский край,2016,28734
Оба пола,Алтайский край,2017,25556
Оба пола,Алтайский край,2018,23408
Оба пола,Алтайский край,2019,21085
Оба пола,Алтайский край,2020,19840
Оба пола,Красноярский край,2015,41186
Оба пола,Красноярский край,2016,39828
Оба пола,Красноярский край,2017,35562
Оба пола,Красноярский край,2018,33527
Оба пола,Красноярский край,2019,30143
Оба пола,Красноярский край,2020,28998
Оба пола,Иркутская область,2015,36904
Оба пола,Иркутская область,2016,35579
Оба пола,Иркутская область,2017,32253
Оба пола,Иркутская область,2018,30847
Оба пола,Иркутская область,2019,28258
Оба пола,Иркутская область,2020,26948
Оба пола,Кемеровская область — Кузбасс,2015,33933
Оба пола,Кемеровская область — Кузбасс,2016,32704
Оба пола,Кемеровская область — Кузбасс,2017,28314
Оба пола,Кемеровская область — Кузбасс,2018,26540
Оба пола,Кемеровская область — Кузбасс,2019,23989
Оба пола,Кемеровская область — Кузбасс,2020,22601
Оба пола,Новосибирская область,2015,39078
Оба пола,Новосибирская область,2016,38185
Оба пола,Новосибирская область,2017,34448
Оба пола,Новосибирская область,2018,32673
Оба пола,Новосибирская область,2019,30023
Оба пола,Новосибирская область,2020,28859
Оба пола,Омская область,2015,28526
Оба пола,Омская область,2016,26310
Оба пола,Омская область,2017,22606
Оба пола,Омская область,2018,21314
Оба пола,Омская область,2019,19031
Оба пола,Омская область,2020,17882
Оба пола,Томская область,2015,14614
Оба пола,Томская область,2016,14206
Оба пола,Томская область,2017,12830
Оба пола,Томская область,2018,11785
Оба пола,Томская область,2019,10704
Оба пола,Томская область,2020,9928
Оба пола,Республика Бурятия,2015,16937
Оба пола,Республика Бурятия,2016,16109
Оба пола,Республика Бурятия,2017,14296
Оба пола,Республика Бурятия,2018,13909
Оба пола,Республика Бурятия,2019,12471
Оба пола,Республика Бурятия,2020,12682
Оба пола,Забайкальский край,2015,16744
Оба пола,Забайкальский край,2016,15763
Оба пола,Забайкальский край,2017,14382
Оба пола,Забайкальский край,2018,13546
Оба пола,Забайкальский край,2019,12547
Оба пола,Забайкальский край,2020,12435
Оба пола,Республика Саха (Якутия),2015,16345
Оба пола,Республика Саха (Якутия),2016,15352
Оба пола,Республика Саха (Якутия),2017,13996
Оба пола,Республика Саха (Якутия),2018,13191
Оба пола,Республика Саха (Якутия),2019,12817
Оба пола,Республика Саха (Якутия),2020,13097
Оба пола,Камчатский край,2015,4150
Оба пола,Камчатский край,2016,4057
Оба пола,Камчатский край,2017,3752
Оба пола,Камчатский край,2018,3417
Оба пола,Камчатский край,2019,3308
Оба пола,Камчатский край,2020,3248
Оба пола,Приморский край,2015,24494
Оба пола,Приморский край,2016,23553
Оба пола,Приморский край,2017,20973
Оба пола,Приморский край,2018,19995
Оба пола,Приморский край,2019,18235
Оба пола,Приморский край,2020,17975
Оба пола,Хабаровский край,2015,19085
Оба пола,Хабаровский край,2016,17846
Оба пола,Хабаровский край,2017,15987
Оба пола,Хабаровский край,2018,15107
Оба пола,Хабаровский край,2019,14432
Оба пола,Хабаровский край,2020,13810
Оба пола,Амурская область,2015,10778
Оба пола,Амурская область,2016,10350
Оба пола,Амурская область,2017,9459
Оба пола,Амурская область,2018,8812
Оба пола,Амурская область,2019,7941
Оба пола,Амурская область,2020,7800
Оба пола,Магаданская область,2015,1751
Оба пола,Магаданская область,2016,1628
Оба пола,Магаданская область,2017,1574
Оба пола,Магаданская область,2018,1427
Оба пола,Магаданская область,2019,1285
Оба пола,Магаданская область,2020,1310
Оба пола,Сахалинская область,2015,6675
Оба пола,Сахалинская область,2016,6935
Оба пола,Сахалинская область,2017,6343
Оба пола,Сахалинская область,2018,5982
Оба пола,Сахалинская область,2019,5802
Оба пола,Сахалинская область,2020,5589
Оба пола,Еврейская автономная область,2015,2343
Оба пола,Еврейская автономная область,2016,2207
Оба пола,Еврейская автономная область,2017,1912
Оба пола,Еврейская автономная область,2018,1877
Оба пола,Еврейская автономная область,2019,1683
Оба пола,Еврейская автономная область,2020,1626
Оба пола,Чукотский автономный округ,2015,685
Оба пола,Чукотский автономный округ,2016,679
Оба пола,Чукотский автономный округ,2017,649
Оба пола,Чукотский автономный округ,2018,625
Оба пола,Чукотский автономный округ,2019,525
Оба пола,Чукотский автономный округ,2020,546
